"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1996 Oct 13 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","LIC. EN LENGUAS EXTRANJERAS","EL CARMEN DE VIBORAL","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN FRANCISCO","1990 Nov 11 12:00:00 AM","FEMENINO","ORIENTE","SAN FRANCISCO","ESTRATO 2","NINGUNO","SI","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","NECOCLI","1989 May 05 12:00:00 AM","MASCULINO","URABA","NECOCLI","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD DE ANTIOQUIA","TRABAJO SOCIAL","APARTADO","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ARGELIA","1998 Feb 20 12:00:00 AM","FEMENINO","ORIENTE","ARGELIA","ESTRATO 1","NINGUNO","SI","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","NARIÑO","1995 Sep 21 12:00:00 AM","FEMENINO","ORIENTE","NARIÑO","ESTRATO 2","NINGUNO","SI","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","NARIÑO","1997 Nov 04 12:00:00 AM","MASCULINO","ORIENTE","NARIÑO","ESTRATO 2","NINGUNO","NO","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","COCORNA","1988 Apr 04 12:00:00 AM","MASCULINO","ORIENTE","SONSON","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA ELECTRONICA","RIONEGRO","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1997 Nov 22 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CIUDAD BOLIVAR","1998 May 25 12:00:00 AM","MASCULINO","SUROESTE","CIUDAD BOLIVAR","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","NECOCLI","1994 Mar 27 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","BIOLOGIA","ANDES","UNIVERSITARIA","NO"
