"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1993 Apr 25 12:00:00 AM","FEMENINO","URABA","NECOCLI","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1994 Nov 05 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1996 Oct 12 12:00:00 AM","FEMENINO","URABA","APARTADO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNICO PROFESIONAL EN SOP. DE SISTEMAS DE INFORMACION","APARTADO","TECNICA PROFESIONAL","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","HELICONIA","1995 May 12 12:00:00 AM","FEMENINO","OCCIDENTE","HELICONIA","ESTRATO 1","NINGUNO","SI","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","TECNOLOGIA EN GESTION DE CALIDAD EN ALIANZA CON EL ICONTEC","SANTA ROSA DE OSOS","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1996 Dec 09 12:00:00 AM","MASCULINO","URABA","APARTADO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNICO PROFESIONAL EN SOP. DE SISTEMAS DE INFORMACION","APARTADO","TECNICA PROFESIONAL","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","URRAO","1996 Dec 30 12:00:00 AM","MASCULINO","SUROESTE","URRAO","ESTRATO 1","NINGUNO","SI","TECNOLOGICO DE ANTIOQUIA","TECNOLOGIA AGROAMBIENTAL","URRAO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN CARLOS","1988 Oct 31 12:00:00 AM","MASCULINO","ORIENTE","SAN CARLOS","ESTRATO 3","NINGUNO","SI","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","SAN CARLOS","TECNOLOGICA","NO"
"2,014","2","MATRICULA","ANTIOQUIA","RIONEGRO","1993 Jul 02 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA DE SISTEMAS","EL CARMEN DE VIBORAL","UNIVERSITARIA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1997 Aug 23 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 1","AFROCOLOMBIANO","NO","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1990 Nov 28 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN LOGISTICA INTEGRAL","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","CHOCO","UNGUIA","1991 Aug 05 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 2","NINGUNO","SI","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","NO"
"2,014","2","MATRICULA","ANTIOQUIA","ANDES","1993 Apr 08 12:00:00 AM","FEMENINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","CONTADURIA PUBLICA","ANDES","UNIVERSITARIA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1997 Mar 06 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN PRODUCCION AGROPECUARIA","RIONEGRO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VIGIA DEL FUERTE","1990 Dec 06 12:00:00 AM","MASCULINO","URABA","APARTADO","ESTRATO 2","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN PRODUCCION AGROPECUARIA","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ZARAGOZA","1994 Mar 03 12:00:00 AM","FEMENINO","BAJO CAUCA","ZARAGOZA","ESTRATO 3","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","TECNOLOGIA EN GESTION DE PLANTACIONES FORESTALES","SANTA ROSA DE OSOS","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1991 May 02 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1997 Mar 08 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN FRANCISCO","1995 Oct 04 12:00:00 AM","MASCULINO","ORIENTE","SAN FRANCISCO","ESTRATO 1","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1992 May 12 12:00:00 AM","MASCULINO","URABA","TURBO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN LOGISTICA INTEGRAL","APARTADO","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1995 May 02 12:00:00 AM","MASCULINO","URABA","APARTADO","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA OCEANOGRAFICA","TURBO","UNIVERSITARIA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ABEJORRAL","1992 Aug 28 12:00:00 AM","MASCULINO","ORIENTE","ABEJORRAL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1996 Nov 07 12:00:00 AM","FEMENINO","URABA","APARTADO","ESTRATO 1","NINGUNO","SI","UNIVERSIDAD DE ANTIOQUIA","LIC. EN MATEMATICAS Y FISICA","TURBO","UNIVERSITARIA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1994 Dec 24 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAREPA","1994 Mar 09 12:00:00 AM","FEMENINO","URABA","CAREPA","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN PRODUCCION AGROPECUARIA","APARTADO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1990 Dec 26 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 1","NINGUNO","SI","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","SI"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","CAICEDO","1974 May 20 12:00:00 AM","FEMENINO","SUROESTE","URRAO","ESTRATO 2","NINGUNO","SI","SENA","TECNOLOGIA EN AGUA Y SANEAMIENTO","CALDAS","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CONCEPCION","1995 Oct 07 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","MICROBIOLOGIA INDUSTRIAL Y AMBIENTAL","EL CARMEN DE VIBORAL","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ARGELIA","1993 Nov 11 12:00:00 AM","FEMENINO","ORIENTE","ARGELIA","ESTRATO 1","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA AMBIENTAL","RIONEGRO","UNIVERSITARIA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN CARLOS","1994 Jun 11 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA AMBIENTAL","RIONEGRO","UNIVERSITARIA","NO"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1989 Apr 13 12:00:00 AM","MASCULINO","VALLE DE ABURRA","BELLO","ESTRATO 1","NINGUNO","NO","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA ELECTRONICA","MEDELLIN","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN CARLOS","1993 Oct 06 12:00:00 AM","MASCULINO","ORIENTE","SAN CARLOS","ESTRATO 2","NINGUNO","SI","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","SAN CARLOS","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MARINILLA","1996 Dec 17 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SONSON","1986 Dec 22 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","CAUCASIA","1994 May 12 12:00:00 AM","MASCULINO","BAJO CAUCA","CAUCASIA","ESTRATO 1","NINGUNO","SI","SENA","TECNOLOGIA EN MANTENIMIENTO DE EQUIPOS DE COMPUTO, DISEÑO E INSTALACION DE CABLEADO ESTRUCTURADO","CAUCASIA","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1989 Feb 12 12:00:00 AM","MASCULINO","URABA","TURBO","ESTRATO 1","AFROCOLOMBIANO","SI","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","YALI","1989 Mar 05 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","ZOOTECNIA","RIONEGRO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1986 Jul 29 12:00:00 AM","MASCULINO","URABA","CHIGORODO","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN PRODUCCION AGROPECUARIA","APARTADO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1981 Jun 23 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 1","AFROCOLOMBIANO","SI","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1994 Jul 05 12:00:00 AM","FEMENINO","ORIENTE","SAN VICENTE","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","SABANETA","1996 Aug 09 12:00:00 AM","MASCULINO","BAJO CAUCA","CAUCASIA","ESTRATO 3","NINGUNO","SI","SENA","TECNOLOGIA EN MANTENIMIENTO DE EQUIPOS DE COMPUTO, DISEÑO E INSTALACION DE CABLEADO ESTRUCTURADO","CAUCASIA","TECNOLOGICA","SI"
"2,016","1","MATRICULA","ANTIOQUIA","YOLOMBO","1999 Jul 06 12:00:00 AM","MASCULINO","NORDESTE","YOLOMBO","ESTRATO 2","NINGUNO","NO","INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DEL NORDESTE","CICLO COMPLEMENTARIO","YOLOMBO","NORMALISTA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANORI","1993 Feb 04 12:00:00 AM","MASCULINO","NORDESTE","ANORI","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","GERONTOLOGIA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA","ANTIOQUIA","SAN ROQUE","1998 Apr 12 12:00:00 AM","FEMENINO","NORDESTE","CISNEROS","ESTRATO 1","NINGUNO","SI","INSTIUCION EDUCATIVA NORMAL SUPERIOR SAN ROQUE","CICLO COMPLEMENTARIO","SAN ROQUE","NORMALISTA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","PEQUE","1985 Oct 14 12:00:00 AM","FEMENINO","OCCIDENTE","SANTAFE DE ANTIOQUIA","ESTRATO 1","NINGUNO","NO","TECOC","TECNOLOGIA EN GESTION AGROPECUARIA","SANTAFE DE ANTIOQUIA","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANZA","1996 Sep 25 12:00:00 AM","MASCULINO","OCCIDENTE","ANZA","ESTRATO 1","NINGUNO","NO","TECOC","TECNOLOGIA EN DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACION","SANTAFE DE ANTIOQUIA","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANZA","1997 Oct 03 12:00:00 AM","MASCULINO","OCCIDENTE","ANZA","ESTRATO 1","NINGUNO","NO","TECOC","TECNOLOGIA EN DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACION","SANTAFE DE ANTIOQUIA","TECNOLOGICA","NO"
"2,016","1","MATRICULA","ANTIOQUIA","MARINILLA","1986 Jun 30 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","ESCUELA NORMAL SUPERIOR RAFAEL MARIA GIRALDO","CICLO COMPLEMENTARIO","MARINILLA","NORMALISTA","SI"
"2,016","1","MATRICULA","ANTIOQUIA","CAUCASIA","1999 May 15 12:00:00 AM","FEMENINO","BAJO CAUCA","CAUCASIA","ESTRATO 1","NINGUNO","NO","INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DEL BAJO CAUCA","CICLO COMPLEMENTARIO","CAUCASIA","NORMALISTA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN LUIS","1990 Feb 15 12:00:00 AM","FEMENINO","ORIENTE","RETIRO","ESTRATO 3","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAREPA","1994 Jun 01 12:00:00 AM","FEMENINO","URABA","CAREPA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","NO"
"2,016","1","MATRICULA","ANTIOQUIA","CISNEROS","1997 Jan 14 12:00:00 AM","FEMENINO","NORDESTE","CISNEROS","ESTRATO 1","NINGUNO","SI","INSTIUCION EDUCATIVA NORMAL SUPERIOR SAN ROQUE","CICLO COMPLEMENTARIO","SAN ROQUE","NORMALISTA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1997 Aug 11 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1995 Jan 07 12:00:00 AM","FEMENINO","NORTE","SAN ANDRES DE CUERQUIA","ESTRATO 2","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","TECNOLOGIA EN GESTION DE CALIDAD EN ALIANZA CON EL ICONTEC","SANTA ROSA DE OSOS","TECNOLOGICA","SI"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","CAUCASIA","1995 Aug 16 12:00:00 AM","MASCULINO","BAJO CAUCA","CAUCASIA","ESTRATO 1","NINGUNO","NO","SENA","TECNOLOGIA EN MANTENIMIENTO DE EQUIPOS DE COMPUTO, DISEÑO E INSTALACION DE CABLEADO ESTRUCTURADO","CAUCASIA","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1991 Sep 18 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","SI"
"2,014","1","MATRICULA","ANTIOQUIA","MEDELLIN","1996 Aug 13 12:00:00 AM","FEMENINO","VALLE DE ABURRA","COPACABANA","ESTRATO 3","NINGUNO","SI","ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA","CICLO COMPLEMENTARIO","COPACABANA","NORMALISTA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1987 Mar 17 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","NO"
"2,015","2","SOSTENIMIENTO","ANTIOQUIA","NARIÑO","1998 Jul 19 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","SENA","TECNOLOGIA ES GESTION EMPRESARIAL","RIONEGRO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","GUARNE","1994 Jun 07 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","COMUNICACION SOCIAL","RIONEGRO","UNIVERSITARIA","NO"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1994 Jul 07 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","LIC. EN LENGUAS EXTRANJERAS","EL CARMEN DE VIBORAL","UNIVERSITARIA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1996 Mar 22 12:00:00 AM","FEMENINO","SUROESTE","PUEBLORRICO","ESTRATO 1","NINGUNO","NO","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","MEDELLIN","UNIVERSITARIA","SI"
"2,014","2","MATRICULA","ANTIOQUIA","BELLO","1996 Aug 14 12:00:00 AM","FEMENINO","VALLE DE ABURRA","BELLO","ESTRATO 3","NINGUNO","NO","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","MEDELLIN","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","YOLOMBO","1996 May 02 12:00:00 AM","MASCULINO","NORDESTE","YOLOMBO","ESTRATO 2","NINGUNO","NO","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN MECANICA AUTOMOTRIZ","YOLOMBO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1987 Jun 28 12:00:00 AM","FEMENINO","URABA","CHIGORODO","ESTRATO 1","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN LOGISTICA INTEGRAL","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RETIRO","1991 Dec 23 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1995 Apr 07 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1988 May 24 12:00:00 AM","MASCULINO","URABA","CHIGORODO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN PRODUCCION AGROPECUARIA","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","PUERTO BERRIO","1996 Dec 28 12:00:00 AM","MASCULINO","MAGDALENA MEDIO","PUERTO BERRIO","ESTRATO 2","NINGUNO","NO","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","PUERTO BERRIO","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1996 Dec 18 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","MATEMATICAS","EL CARMEN DE VIBORAL","UNIVERSITARIA","NO"
"2,014","2","SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1996 Dec 06 12:00:00 AM","MASCULINO","ORIENTE","SAN VICENTE","ESTRATO 1","NINGUNO","NO","SENA","TECNOLOGIA EN GESTION DE RECURSOS NATURALES","RIONEGRO","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN CARLOS","1995 Jun 20 12:00:00 AM","FEMENINO","ORIENTE","SAN CARLOS","ESTRATO 2","NINGUNO","SI","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","SAN CARLOS","TECNOLOGICA","SI"
"2,014","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1995 Mar 13 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD DE ANTIOQUIA","CONTADURIA PUBLICA","EL CARMEN DE VIBORAL","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1996 Dec 19 12:00:00 AM","FEMENINO","URABA","CHIGORODO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","SI"
"2,014","2","MATRICULA","ANTIOQUIA","SAN JERONIMO","1989 Sep 28 12:00:00 AM","MASCULINO","OCCIDENTE","SAN JERONIMO","ESTRATO 2","NINGUNO","NO","INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR GENOVEVA DIAZ","CICLO COMPLEMENTARIO","SAN JERONIMO","NORMALISTA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1996 Sep 24 12:00:00 AM","MASCULINO","URABA","TURBO","ESTRATO 2","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","NO"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TAMESIS","1995 Nov 17 12:00:00 AM","MASCULINO","SUROESTE","TAMESIS","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA AGROPECUARIA","LA PINTADA","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VENECIA","1995 Dec 23 12:00:00 AM","MASCULINO","SUROESTE","FREDONIA","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA AGROPECUARIA","LA PINTADA","TECNOLOGICA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1993 Jul 16 12:00:00 AM","FEMENINO","URABA","TURBO","ESTRATO 1","NINGUNO","SI","TECNOLOGICO DE ANTIOQUIA","LIC. EN EDUCACION PREESCOLAR","TURBO","UNIVERSITARIA","SI"
"2,014","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1996 May 22 12:00:00 AM","MASCULINO","URABA","TURBO","ESTRATO 2","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","SI"
